"n°UAI de l'établissement";"Libellé de l'établissement";"Région";"Dont apprentis en EPLE";;"Taux";"Taux attendu";"Valeur ajoutée";
"0890819G";"Lycée professionnel Vauban, lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";43;34;35;-1;43
"0890819G";"Lycée professionnel Vauban, lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;
"0891016W";"Etablissement régional d'enseignement adapté Jules Verne";"BOURGOGNE-FRANCHE-COMTE";"ensemble";30;9;21;-12;23
"0891159B";"Lycée professionnel Saint Germain";"BOURGOGNE-FRANCHE-COMTE";"ensemble";51;37;34;3;38
"0891159B";"Lycée professionnel Saint Germain";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";53;36;33;3;36
"0891159B";"Lycée professionnel Saint Germain";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;
"0891168L";"Lycée général et technologique Pierre Larousse";"BOURGOGNE-FRANCHE-COMTE";"ensemble";21;;;;
"0891199V";"Lycée polyvalent Louis Davier - Lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"ensemble";36;36;39;-3;47
"0891200W";"Lycée général et technologique Catherine et Raymond Janot - Lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"ensemble";33;58;52;6;65
"0891223W";"Lycée professionnel privé Saint Jacques";"BOURGOGNE-FRANCHE-COMTE";"ensemble";79;;;;
"0900002N";"Lycée général et technologique Condorcet";"BOURGOGNE-FRANCHE-COMTE";"ensemble";31;59;52;7;37
"0900004R";"Lycée général et technologique Raoul Follereau";"BOURGOGNE-FRANCHE-COMTE";"ensemble";35;57;57;0;60
"0900004R";"Lycée général et technologique Raoul Follereau";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";35;50;53;-3;57
"0900004R";"Lycée général et technologique Raoul Follereau";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";33;68;63;5;64
"0900019G";"Lycée professionnel Jules Ferry - Lycée des métiers des services aux collectivités, aux entreprises et à la personne";"BOURGOGNE-FRANCHE-COMTE";"ensemble";42;22;28;-6;28
"0900019G";"Lycée professionnel Jules Ferry - Lycée des métiers des services aux collectivités, aux entreprises et à la personne";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";43;21;27;-7;29
"0900019G";"Lycée professionnel Jules Ferry - Lycée des métiers des services aux collectivités, aux entreprises et à la personne";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;
"0900029T";"Lycée général et technologique privé Notre-Dame des Anges";"BOURGOGNE-FRANCHE-COMTE";"ensemble";30;39;51;-12;45
"0900030U";"Lycée général et technologique privé Sainte Marie";"BOURGOGNE-FRANCHE-COMTE";"ensemble";48;;;;
"0900236T";"Lycée professionnel Raoul Follereau";"BOURGOGNE-FRANCHE-COMTE";"ensemble";42;31;30;1;33
"0900355X";"Lycée professionnel Denis Diderot - Lycée des métiers de l'électricité, des technologies numériques et de la productique";"BOURGOGNE-FRANCHE-COMTE";"ensemble";52;23;30;-6;27
"0900425Y";"Lycée professionnel privé Saint Joseph";"BOURGOGNE-FRANCHE-COMTE";"ensemble";54;28;33;-5;31
"0910429X";"Etablissement régional d'enseignement adapté Le Château du Lac";"ILE-DE-FRANCE";"ensemble";60;41;32;9;41
"0910620E";"Lycée polyvalent Robert Doisneau, lycée des métiers des services aux entreprises et de l'industrie";"ILE-DE-FRANCE";"ensemble";41;46;45;1;49
"0910622G";"Lycée polyvalent Geoffroy-Saint-Hilaire";"ILE-DE-FRANCE";"ensemble";41;47;45;2;50
"0910623H";"Lycée général et technologique Marcel Pagnol";"ILE-DE-FRANCE";"ensemble";31;61;55;6;62
"0910625K";"Lycée général et technologique Rosa Parks";"ILE-DE-FRANCE";"ensemble";34;52;52;0;52
"0910627M";"Lycée général et technologique Jean-Baptiste Corot";"ILE-DE-FRANCE";"ensemble";42;53;57;-4;55
"0910628N";"Lycée professionnel Paul Belmondo";"ILE-DE-FRANCE";"ensemble";50;34;34;1;42
"0910629P";"Lycée professionnel Chateau des Coudraies, lycée des métiers de bouche et d'hôtellerie";"ILE-DE-FRANCE";"ensemble";50;41;39;2;44
"0910629P";"Lycée professionnel Chateau des Coudraies, lycée des métiers de bouche et d'hôtellerie";"ILE-DE-FRANCE";"dont élèves en voie pro sco";51;40;38;2;43
"0910629P";"Lycée professionnel Chateau des Coudraies, lycée des métiers de bouche et d'hôtellerie";"ILE-DE-FRANCE";"dont apprentis";;;;;
"0910630R";"Lycée polyvalent Alexandre Denis, lycée des métiers de l'aéronautique, du transport et de la logistique";"ILE-DE-FRANCE";"ensemble";48;46;43;3;55
"0910631S";"Lycée professionnel Jean Monnet, lycée des métiers des services aux entreprises";"ILE-DE-FRANCE";"ensemble";58;29;33;-4;32
"0910631S";"Lycée professionnel Jean Monnet, lycée des métiers des services aux entreprises";"ILE-DE-FRANCE";"dont élèves en voie pro sco";58;29;33;-4;32
"0910631S";"Lycée professionnel Jean Monnet, lycée des métiers des services aux entreprises";"ILE-DE-FRANCE";"dont apprentis";;;;;
"0910632T";"Lycée professionnel Gustave Eiffel, lycée des métiers de la mode et du bâtiment";"ILE-DE-FRANCE";"ensemble";45;47;42;6;51
"0910632T";"Lycée professionnel Gustave Eiffel, lycée des métiers de la mode et du bâtiment";"ILE-DE-FRANCE";"dont élèves en voie pro sco";48;40;33;7;45
"0910632T";"Lycée professionnel Gustave Eiffel, lycée des métiers de la mode et du bâtiment";"ILE-DE-FRANCE";"dont apprentis";22;79;78;0;74
"0910676R";"Lycée polyvalent Clément Ader";"ILE-DE-FRANCE";"ensemble";51;41;40;1;41
"0910687C";"Lycée général et technologique Fustel de Coulanges";"ILE-DE-FRANCE";"ensemble";39;55;59;-4;61
"0910715H";"Lycée professionnel Jean Perrin, lycée des métiers de l'Industrie, du service à la personne et aux entreprises";"ILE-DE-FRANCE";"ensemble";50;28;33;-4;35
"0910715H";"Lycée professionnel Jean Perrin, lycée des métiers de l'Industrie, du service à la personne et aux entreprises";"ILE-DE-FRANCE";"dont élèves en voie pro sco";51;29;33;-4;34
"0910715H";"Lycée professionnel Jean Perrin, lycée des métiers de l'Industrie, du service à la personne et aux entreprises";"ILE-DE-FRANCE";"dont apprentis";;;;;
"0910727W";"Lycée polyvalent Parc de Vilgenis, lycée des métiers de la mécatronique, de l'informatique et des services aux entreprises";"ILE-DE-FRANCE";"ensemble";51;49;49;0;50
"0910727W";"Lycée polyvalent Parc de Vilgenis, lycée des métiers de la mécatronique, de l'informatique et des services aux entreprises";"ILE-DE-FRANCE";"dont élèves en voie pro sco";52;49;48;2;50
"0910727W";"Lycée polyvalent Parc de Vilgenis, lycée des métiers de la mécatronique, de l'informatique et des services aux entreprises";"ILE-DE-FRANCE";"dont apprentis";38;42;54;-12;50
"0910755B";"Lycée professionnel Nadar, lycée des métiers de la sécurité de l'industrie et de la relation client";"ILE-DE-FRANCE";"ensemble";47;34;35;-1;38
"0910755B";"Lycée professionnel Nadar, lycée des métiers de la sécurité de l'industrie et de la relation client";"ILE-DE-FRANCE";"dont élèves en voie pro sco";46;32;33;-1;35
"0910755B";"Lycée professionnel Nadar, lycée des métiers de la sécurité de l'industrie et de la relation client";"ILE-DE-FRANCE";"dont apprentis";51;50;53;-3;53
"0910756C";"Lycée professionnel Louis Armand, lycée des métiers administratifs et commerciaux";"ILE-DE-FRANCE";"ensemble";50;34;31;3;41
"0910808J";"Lycée général et technologique privé Saint Charles";"ILE-DE-FRANCE";"ensemble";52;53;56;-3;62
"0910838S";"Lycée polyvalent privé Beth Rivkah";"ILE-DE-FRANCE";"ensemble";;;;;
"0910843X";"Lycée polyvalent privé St Pierre, lycée des métiers communication, gestion, mercatique, lycée des métiers d'hôtellerie, restauration, tourisme";"ILE-DE-FRANCE";"ensemble";50;58;49;10;61
"0910975R";"Lycée polyvalent Jean-Pierre Timbaud";"ILE-DE-FRANCE";"ensemble";56;55;48;6;61
"0911037H";"Lycée professionnel André-Marie Ampère, Lycée des métiers du numérique et de la transition énergétique";"ILE-DE-FRANCE";"ensemble";63;29;33;-3;31
"0911251R";"Lycée général et technologique Parc des Loges";"ILE-DE-FRANCE";"ensemble";49;51;47;5;41
"0911251R";"Lycée général et technologique Parc des Loges";"ILE-DE-FRANCE";"dont élèves en voie pro sco";48;50;47;3;39
"0911251R";"Lycée général et technologique Parc des Loges";"ILE-DE-FRANCE";"dont apprentis";;;;;
"0911254U";"Lycée polyvalent Charles Baudelaire, lycée des métiers de la relation client, de la beauté, du soin et des services à la personne";"ILE-DE-FRANCE";"ensemble";55;32;34;-2;38
"0911254U";"Lycée polyvalent Charles Baudelaire, lycée des métiers de la relation client, de la beauté, du soin et des services à la personne";"ILE-DE-FRANCE";"dont élèves en voie pro sco";56;29;32;-3;34
"0911254U";"Lycée polyvalent Charles Baudelaire, lycée des métiers de la relation client, de la beauté, du soin et des services à la personne";"ILE-DE-FRANCE";"dont apprentis";33;;;;
"0911264E";"Lycée polyvalent privé - Section de Technicien Supérieur - Classes Préparatoires aux Grandes Ecoles d'Optométrie";"ILE-DE-FRANCE";"ensemble";64;70;58;12;74
"0911343R";"Lycée professionnel Auguste Perret";"ILE-DE-FRANCE";"ensemble";50;35;34;1;48
"0911346U";"Lycée général et technologique Albert Einstein";"ILE-DE-FRANCE";"ensemble";34;51;59;-8;56
"0911353B";"Etablissement régional d'enseignement adapté Jean Isoard";"ILE-DE-FRANCE";"ensemble";43;22;20;3;22
"0911401D";"Lycée professionnel Nelson-Mandela";"ILE-DE-FRANCE";"ensemble";45;31;33;-1;32
"0911492C";"Lycée polyvalent L'Essouriau";"ILE-DE-FRANCE";"ensemble";52;38;38;0;39
"0911492C";"Lycée polyvalent L'Essouriau";"ILE-DE-FRANCE";"dont élèves en voie pro sco";53;37;38;-1;38
"0911492C";"Lycée polyvalent L'Essouriau";"ILE-DE-FRANCE";"dont apprentis";;;;;
"0911493D";"Lycée professionnel Les Frères Moreau";"ILE-DE-FRANCE";"ensemble";53;33;36;-3;36
"0911577V";"Lycée général et technologique Jacques Prévert";"ILE-DE-FRANCE";"ensemble";41;61;60;1;58
"0911577V";"Lycée général et technologique Jacques Prévert";"ILE-DE-FRANCE";"dont élèves en voie pro sco";47;62;53;9;58
"0911577V";"Lycée général et technologique Jacques Prévert";"ILE-DE-FRANCE";"dont apprentis";23;58;70;-12;58
"0911578W";"Lycée professionnel Pierre Mendès France";"ILE-DE-FRANCE";"ensemble";53;27;32;-5;27
"0911632E";"Lycée général et technologique René Cassin";"ILE-DE-FRANCE";"ensemble";58;59;59;0;59
"0911828T";"Lycée polyvalent Georges Brassens, lycée des métiers du numérique et des arts appliqués";"ILE-DE-FRANCE";"ensemble";56;31;37;-6;37
"0911913K";"Lycée général et technologique Vallée de Chevreuse";"ILE-DE-FRANCE";"ensemble";62;50;47;3;45
"0911937L";"Lycée polyvalent François Truffaut";"ILE-DE-FRANCE";"ensemble";30;62;57;5;57
"0911945V";"Lycée polyvalent Marguerite Yourcenar";"ILE-DE-FRANCE";"ensemble";51;26;30;-5;27
"0911946W";"Lycée polyvalent Léonard de Vinci";"ILE-DE-FRANCE";"ensemble";50;33;36;-3;37
"0911961M";"Lycée général et technologique Edmond Michelet";"ILE-DE-FRANCE";"ensemble";45;44;52;-7;56
"0911962N";"Lycée polyvalent Marie Laurencin";"ILE-DE-FRANCE";"ensemble";46;30;28;1;41
"0912117G";"Lycée polyvalent privé Notre Dame de Sion";"ILE-DE-FRANCE";"ensemble";68;;;;
"0912142J";"Lycée polyvalent Gaspard Monge, lycée des métiers de l'automobile et de la logistique";"ILE-DE-FRANCE";"ensemble";43;56;56;0;62
"0912142J";"Lycée polyvalent Gaspard Monge, lycée des métiers de l'automobile et de la logistique";"ILE-DE-FRANCE";"dont élèves en voie pro sco";47;49;48;1;55
"0912142J";"Lycée polyvalent Gaspard Monge, lycée des métiers de l'automobile et de la logistique";"ILE-DE-FRANCE";"dont apprentis";34;66;68;-1;72
"0912161E";"Lycée polyvalent privé Saint Léon";"ILE-DE-FRANCE";"ensemble";52;34;36;-2;48
"0912163G";"Lycée polyvalent Paul Langevin, lycée des métiers de la gestion et de la relation client";"ILE-DE-FRANCE";"ensemble";44;35;37;-2;37
"0912163G";"Lycée polyvalent Paul Langevin, lycée des métiers de la gestion et de la relation client";"ILE-DE-FRANCE";"dont élèves en voie pro sco";44;35;38;-3;37
"0912163G";"Lycée polyvalent Paul Langevin, lycée des métiers de la gestion et de la relation client";"ILE-DE-FRANCE";"dont apprentis";32;;;;
"0912251C";"Lycée polyvalent Henri Poincare, lycée des métiers de l'aide à la personne";"ILE-DE-FRANCE";"ensemble";42;38;39;0;43
"0912251C";"Lycée polyvalent Henri Poincare, lycée des métiers de l'aide à la personne";"ILE-DE-FRANCE";"dont élèves en voie pro sco";44;35;36;-1;38
"0912251C";"Lycée polyvalent Henri Poincare, lycée des métiers de l'aide à la personne";"ILE-DE-FRANCE";"dont apprentis";29;68;64;4;82
"0912321D";"Lycée polyvalent privé Saint-Martin";"ILE-DE-FRANCE";"ensemble";61;23;29;-6;30
"0912364A";"Lycée polyvalent Nikola Tesla";"ILE-DE-FRANCE";"ensemble";48;45;42;2;48
"0912364A";"Lycée polyvalent Nikola Tesla";"ILE-DE-FRANCE";"dont élèves en voie pro sco";49;44;42;2;47
"0912364A";"Lycée polyvalent Nikola Tesla";"ILE-DE-FRANCE";"dont apprentis";;;;;
"0920130S";"Lycée général et technologique Descartes";"ILE-DE-FRANCE";"ensemble";58;58;57;2;58
"0920134W";"Lycée général et technologique Jacques Prévert";"ILE-DE-FRANCE";"ensemble";46;55;43;12;56
"0920135X";"Lycée général et technologique Emmanuel Mounier";"ILE-DE-FRANCE";"ensemble";29;55;52;4;62
"0920136Y";"Lycée polyvalent Newton-Enrea";"ILE-DE-FRANCE";"ensemble";42;39;40;-1;42
"0920136Y";"Lycée polyvalent Newton-Enrea";"ILE-DE-FRANCE";"dont élèves en voie pro sco";44;37;38;0;40
"0920136Y";"Lycée polyvalent Newton-Enrea";"ILE-DE-FRANCE";"dont apprentis";15;55;64;-9;59
"0920137Z";"Lycée général et technologique Guy de Maupassant";"ILE-DE-FRANCE";"ensemble";36;64;53;12;63
"0920138A";"Lycée général et technologique Paul Lapie";"ILE-DE-FRANCE";"ensemble";47;54;49;5;51
"0920141D";"Lycée polyvalent Joliot-Curie";"ILE-DE-FRANCE";"ensemble";39;43;42;0;47
"0920141D";"Lycée polyvalent Joliot-Curie";"ILE-DE-FRANCE";"dont élèves en voie pro sco";40;43;42;2;48
"0920141D";"Lycée polyvalent Joliot-Curie";"ILE-DE-FRANCE";"dont apprentis";;;;;
"0920144G";"Lycée général et technologique L'Agora";"ILE-DE-FRANCE";"ensemble";35;38;48;-11;41
"0920147K";"Lycée général et technologique Paul Langevin";"ILE-DE-FRANCE";"ensemble";38;57;55;2;64
"0920150N";"Lycée polyvalent de Prony, lycée des métiers du bois, de l'ébénisterie, de la technique de l'architecture et de l'habitat";"ILE-DE-FRANCE";"ensemble";49;33;34;-1;34
"0920158X";"Lycée professionnel La Tournelle, lycée des métiers du numérique, de l'électricité, de l'accueil, du commerce et de la gestion";"ILE-DE-FRANCE";"ensemble";54;20;31;-10;24
"0920163C";"Lycée professionnel Louis Girard";"ILE-DE-FRANCE";"ensemble";48;47;40;7;52
"0920164D";"Lycée professionnel Jean Monnet , lycée des métiers des constructions et de la gestion administrative";"ILE-DE-FRANCE";"ensemble";47;43;38;5;46
"0920164D";"Lycée professionnel Jean Monnet , lycée des métiers des constructions et de la gestion administrative";"ILE-DE-FRANCE";"dont élèves en voie pro sco";49;39;31;8;45
"0920164D";"Lycée professionnel Jean Monnet , lycée des métiers des constructions et de la gestion administrative";"ILE-DE-FRANCE";"dont apprentis";35;67;75;-8;54
"0920166F";"Lycée professionnel Vassily Kandinsky, lycée des métiers de l'esthétique et des services à la personne";"ILE-DE-FRANCE";"ensemble";50;40;29;11;46
"0920170K";"Lycée polyvalent Florian, lycée des métiers de la vente et de la beauté";"ILE-DE-FRANCE";"ensemble";50;45;37;8;49
"0920171L";"Lycée professionnel Louis Blériot, lycée des métiers de l'énergie";"ILE-DE-FRANCE";"ensemble";49;39;40;-1;47
"0920171L";"Lycée professionnel Louis Blériot, lycée des métiers de l'énergie";"ILE-DE-FRANCE";"dont élèves en voie pro sco";48;36;31;6;44
"0920171L";"Lycée professionnel Louis Blériot, lycée des métiers de l'énergie";"ILE-DE-FRANCE";"dont apprentis";50;47;59;-12;56
"0920429S";"Etablissement régional d'enseignement adapté Martin Luther King";"ILE-DE-FRANCE";"ensemble";73;19;20;-1;29
"0920680P";"Lycée professionnel Léonard de Vinci";"ILE-DE-FRANCE";"ensemble";56;30;32;-2;30
"0920799U";"Lycée général et technologique Richelieu";"ILE-DE-FRANCE";"ensemble";40;39;51;-12;50
"0920802X";"Lycée général et technologique Jean-Pierre Vernant";"ILE-DE-FRANCE";"ensemble";44;57;52;5;59
"0920810F";"Etablissement régional d'enseignement adapté Jean Monnet";"ILE-DE-FRANCE";"ensemble";67;;;;
"0920894X";"Lycée général et technologique privé Saint Gabriel";"ILE-DE-FRANCE";"ensemble";49;57;48;9;57
"0920897A";"Lycée général et technologique privé Notre Dame";"ILE-DE-FRANCE";"ensemble";46;49;56;-7;53
"0920928J";"Lycée général et technologique privé La Salle Passy Buzenval";"ILE-DE-FRANCE";"ensemble";45;;;;
"0920963X";"Lycée professionnel privé Saint François d'Assise";"ILE-DE-FRANCE";"ensemble";52;44;32;12;37
"0920981S";"Lycée professionnel privé Saint Philippe";"ILE-DE-FRANCE";"ensemble";54;33;33;0;45
"0920985W";"Lycée polyvalent privé La Trinité";"ILE-DE-FRANCE";"ensemble";44;37;37;0;51
"0921156G";"Lycée polyvalent Galilée, lycée des métiers de la chimie,  de la plasturgie et des biotechnologies";"ILE-DE-FRANCE";"ensemble";49;32;44;-12;38
"0921156G";"Lycée polyvalent Galilée, lycée des métiers de la chimie,  de la plasturgie et des biotechnologies";"ILE-DE-FRANCE";"dont élèves en voie pro sco";47;30;42;-12;35
"0921156G";"Lycée polyvalent Galilée, lycée des métiers de la chimie,  de la plasturgie et des biotechnologies";"ILE-DE-FRANCE";"dont apprentis";65;;;;
"0921166T";"Lycée polyvalent Jean Jaurès, lycée des métiers de la santé et du social";"ILE-DE-FRANCE";"ensemble";44;42;37;5;49
"0921229L";"Lycée polyvalent Anatole-France, lycée des métiers de l'électrotechnique, des services et de la tapisserie d'ameublement";"ILE-DE-FRANCE";"ensemble";48;34;32;2;32
"0921230M";"Lycée polyvalent Léonard de Vinci, lycée des métiers de la micro-technologie, de l'optique et des services aux entreprises";"ILE-DE-FRANCE";"ensemble";46;39;44;-5;45
"0921230M";"Lycée polyvalent Léonard de Vinci, lycée des métiers de la micro-technologie, de l'optique et des services aux entreprises";"ILE-DE-FRANCE";"dont élèves en voie pro sco";45;38;42;-4;43
"0921230M";"Lycée polyvalent Léonard de Vinci, lycée des métiers de la micro-technologie, de l'optique et des services aux entreprises";"ILE-DE-FRANCE";"dont apprentis";57;;;;
"0921399W";"Lycée général et technologique Maurice Genevoix";"ILE-DE-FRANCE";"ensemble";42;;;;
"0921484N";"Lycée polyvalent privé Montalembert";"ILE-DE-FRANCE";"ensemble";45;41;53;-12;50
"0921500F";"Lycée professionnel Voilin, lycée des métiers de l'accueil, de la vente et des services aux entreprises";"ILE-DE-FRANCE";"ensemble";51;26;30;-3;33
"0921505L";"Lycée professionnel Louis Dardenne";"ILE-DE-FRANCE";"ensemble";59;29;29;1;29
"0921592F";"Lycée professionnel Les Cotes de Villebon, lycée des métiers de bouche, du commerce et de l'industrie";"ILE-DE-FRANCE";"ensemble";49;36;37;-1;41
"0921592F";"Lycée professionnel Les Cotes de Villebon, lycée des métiers de bouche, du commerce et de l'industrie";"ILE-DE-FRANCE";"dont élèves en voie pro sco";52;30;34;-3;37
"0921592F";"Lycée professionnel Les Cotes de Villebon, lycée des métiers de bouche, du commerce et de l'industrie";"ILE-DE-FRANCE";"dont apprentis";33;59;49;10;56
"0921594H";"Lycée général et technologique Michel Ange";"ILE-DE-FRANCE";"ensemble";28;44;52;-8;50
"0921594H";"Lycée général et technologique Michel Ange";"ILE-DE-FRANCE";"dont élèves en voie pro sco";35;40;52;-12;50
"0921594H";"Lycée général et technologique Michel Ange";"ILE-DE-FRANCE";"dont apprentis";7;50;51;-1;50
"0921595J";"Lycée professionnel Daniel Balavoine";"ILE-DE-FRANCE";"ensemble";43;28;29;-1;28
"0921595J";"Lycée professionnel Daniel Balavoine";"ILE-DE-FRANCE";"dont élèves en voie pro sco";46;29;28;0;30
"0921595J";"Lycée professionnel Daniel Balavoine";"ILE-DE-FRANCE";"dont apprentis";14;;;;
"0921625S";"Lycée professionnel Paul Painlevé, lycée des métiers du commerce, de la communication et de la gestion";"ILE-DE-FRANCE";"ensemble";44;29;34;-5;34
"0921625S";"Lycée professionnel Paul Painlevé, lycée des métiers du commerce, de la communication et de la gestion";"ILE-DE-FRANCE";"dont élèves en voie pro sco";46;26;32;-6;32
"0921625S";"Lycée professionnel Paul Painlevé, lycée des métiers du commerce, de la communication et de la gestion";"ILE-DE-FRANCE";"dont apprentis";14;;;;
"0921626T";"Lycée professionnel Claude Chappe";"ILE-DE-FRANCE";"ensemble";41;30;35;-5;40
"0921676X";"Lycée professionnel Théodore Monod, lycée des métiers de l'hôtellerie et des services à vocation internationale";"ILE-DE-FRANCE";"ensemble";51;38;36;2;39
"0921676X";"Lycée professionnel Théodore Monod, lycée des métiers de l'hôtellerie et des services à vocation internationale";"ILE-DE-FRANCE";"dont élèves en voie pro sco";53;33;33;1;36
"0921676X";"Lycée professionnel Théodore Monod, lycée des métiers de l'hôtellerie et des services à vocation internationale";"ILE-DE-FRANCE";"dont apprentis";26;68;58;10;65
"0921932A";"Lycée professionnel privé La Salle Passy Buzenval";"ILE-DE-FRANCE";"ensemble";74;;;;
"0921935D";"Etablissement régional d'enseignement adapté Toulouse Lautrec";"ILE-DE-FRANCE";"ensemble";53;35;47;-12;50
"0922149L";"Lycée polyvalent  Auffray, lycée des métiers de l'hôtellerie-tourisme, de la santé et du social";"ILE-DE-FRANCE";"ensemble";42;43;43;0;45
"0922149L";"Lycée polyvalent  Auffray, lycée des métiers de l'hôtellerie-tourisme, de la santé et du social";"ILE-DE-FRANCE";"dont élèves en voie pro sco";42;41;41;0;43
"0922149L";"Lycée polyvalent  Auffray, lycée des métiers de l'hôtellerie-tourisme, de la santé et du social";"ILE-DE-FRANCE";"dont apprentis";35;52;53;-1;54
"0922249V";"Lycée polyvalent Montesquieu";"ILE-DE-FRANCE";"ensemble";49;45;34;11;39
"0922249V";"Lycée polyvalent Montesquieu";"ILE-DE-FRANCE";"dont élèves en voie pro sco";51;48;36;12;40
"0922249V";"Lycée polyvalent Montesquieu";"ILE-DE-FRANCE";"dont apprentis";;;;;
"0922276Z";"Lycée polyvalent Santos Dumont, lycée des métiers de l'hôtellerie et de la gestion des entreprises";"ILE-DE-FRANCE";"ensemble";48;50;46;4;53
"0922276Z";"Lycée polyvalent Santos Dumont, lycée des métiers de l'hôtellerie et de la gestion des entreprises";"ILE-DE-FRANCE";"dont élèves en voie pro sco";52;44;40;4;48
"0922276Z";"Lycée polyvalent Santos Dumont, lycée des métiers de l'hôtellerie et de la gestion des entreprises";"ILE-DE-FRANCE";"dont apprentis";38;64;61;3;67
"0922277A";"Lycée polyvalent Charles Petiet";"ILE-DE-FRANCE";"ensemble";40;31;39;-7;34
"0922398G";"Lycée polyvalent Gustave Eiffel, lycée des métiers de la santé, de la communication et du commerce";"ILE-DE-FRANCE";"ensemble";49;41;32;9;42
"0922427N";"Lycée polyvalent Claude Garamont, lycée des métiers de la chaîne graphiques";"ILE-DE-FRANCE";"ensemble";55;30;31;-1;32
"0922427N";"Lycée polyvalent Claude Garamont, lycée des métiers de la chaîne graphiques";"ILE-DE-FRANCE";"dont élèves en voie pro sco";55;29;30;-2;31
"0922427N";"Lycée polyvalent Claude Garamont, lycée des métiers de la chaîne graphiques";"ILE-DE-FRANCE";"dont apprentis";;;;;
"0922443F";"Lycée polyvalent  Etienne-Jules Marey, lycée des métiers de la petite enfance et des soins à la personne";"ILE-DE-FRANCE";"ensemble";48;35;26;9;34
"0922443F";"Lycée polyvalent  Etienne-Jules Marey, lycée des métiers de la petite enfance et des soins à la personne";"ILE-DE-FRANCE";"dont élèves en voie pro sco";48;34;25;9;34
"0922443F";"Lycée polyvalent  Etienne-Jules Marey, lycée des métiers de la petite enfance et des soins à la personne";"ILE-DE-FRANCE";"dont apprentis";;;;;
"0922464D";"Lycée polyvalent Louise Michel";"ILE-DE-FRANCE";"ensemble";43;34;34;0;33
"0922464D";"Lycée polyvalent Louise Michel";"ILE-DE-FRANCE";"dont élèves en voie pro sco";42;33;32;1;33
"0922464D";"Lycée polyvalent Louise Michel";"ILE-DE-FRANCE";"dont apprentis";46;;;;
"0922653J";"Lycée polyvalent privé la Salle Saint Nicolas, lycée des métiers";"ILE-DE-FRANCE";"ensemble";48;39;42;-3;42
"0930116W";"Lycée général et technologique Henri Wallon";"ILE-DE-FRANCE";"ensemble";35;50;53;-3;58
"0930117X";"Lycée général et Technologique Le Corbusier";"ILE-DE-FRANCE";"ensemble";32;49;50;-1;53
"0930118Y";"Lycée général et technologique Jean Renoir";"ILE-DE-FRANCE";"ensemble";26;46;52;-7;49
"0930119Z";"Lycée polyvalent Eugène Delacroix";"ILE-DE-FRANCE";"ensemble";52;41;38;3;43
"0930120A";"Lycée général et technologique Jacques Feyder";"ILE-DE-FRANCE";"ensemble";24;61;49;11;53
"0930121B";"Lycée enseignement général et technologique Jean Jaurès";"ILE-DE-FRANCE";"ensemble";31;46;50;-5;46
"0930122C";"Lycée général et technologique Condorcet";"ILE-DE-FRANCE";"ensemble";30;47;55;-8;61
"0930123D";"Lycée général et technologique Olympe de Gouges";"ILE-DE-FRANCE";"ensemble";24;;;;
"0930125F";"Lycée enseignement général et technologique Paul Eluard";"ILE-DE-FRANCE";"ensemble";34;57;53;3;60
"0930125F";"Lycée enseignement général et technologique Paul Eluard";"ILE-DE-FRANCE";"dont élèves en voie pro sco";35;55;52;3;59
"0930125F";"Lycée enseignement général et technologique Paul Eluard";"ILE-DE-FRANCE";"dont apprentis";29;67;61;6;63
"0930126G";"Lycée polyvalent Auguste Blanqui";"ILE-DE-FRANCE";"ensemble";60;28;28;0;26
"0930127H";"Lycée général et technologique Clémenceau";"ILE-DE-FRANCE";"ensemble";30;51;53;-2;58
"0930128J";"Lycée professionnel Denis Papin";"ILE-DE-FRANCE";"ensemble";53;22;32;-9;32
"0930129K";"Lycée professionnel Madeleine Vionnet";"ILE-DE-FRANCE";"ensemble";54;28;29;-1;31
"0930130L";"Lycée professionnel Condorcet - Lycée des métiers du traitement de surface des matériaux - Lycée des métiers de maintenance et après-vente automobile";"ILE-DE-FRANCE";"ensemble";66;26;35;-10;34
"0930133P";"Lycée professionnel Théodore Monod - Lycée des métiers du commerce et de la vente";"ILE-DE-FRANCE";"ensemble";48;23;29;-6;25
"0930135S";"Lycée professionnel Simone Weil";"ILE-DE-FRANCE";"ensemble";47;24;30;-6;33
"0930136T";"Lycée polyvalent Claude-Nicolas Ledoux - Lycée des métiers de l'éco-construction et de la décoration";"ILE-DE-FRANCE";"ensemble";42;32;31;1;36
"0930138V";"Lycée professionnel Frédéric Bartholdi";"ILE-DE-FRANCE";"ensemble";49;19;30;-11;28
"0930830X";"Lycée général et technologique Albert Schweitzer";"ILE-DE-FRANCE";"ensemble";62;53;57;-3;49
